Transaction_id,Product_id,Client_id,Transaction_time,
1,3,62,10/5/2023,
2,1,26,1/15/2023,
3,3,66,10/29/2023,
4,3,71,8/8/2024,
5,7,74,7/22/2024,
6,5,66,1/19/2023,
7,2,92,1/7/2023,
8,1,26,6/26/2023,
9,4,50,7/8/2024,
10,6,44,7/14/2024,
11,7,13,12/27/2023,
12,6,55,11/28/2023,
13,6,88,7/9/2024,
14,3,28,10/19/2024,
15,1,10,4/13/2023,
16,5,83,2/20/2024,
17,6,97,9/30/2024,
18,2,40,8/1/2024,
19,4,40,2/16/2024,
20,5,2,7/24/2023,
21,7,30,8/21/2023,
22,6,63,10/18/2024,
23,7,30,12/31/2023,
24,4,16,10/13/2023,
25,7,77,11/20/2023,
26,2,27,2/5/2024,
27,4,81,1/25/2024,
28,8,58,4/23/2024,
29,7,98,6/9/2023,
30,5,83,2/13/2023,
31,3,36,10/9/2023,
32,1,31,9/21/2024,
33,5,97,9/15/2023,
34,5,81,6/27/2024,
35,3,14,8/3/2023,
36,5,89,4/30/2023,
37,6,23,5/17/2024,
38,2,83,4/4/2023,
39,5,71,7/6/2024,
40,4,78,6/25/2024,
41,5,66,6/22/2023,
42,8,83,9/14/2023,
43,2,55,1/18/2023,
44,2,41,11/1/2024,
45,4,61,4/26/2023,
46,1,49,11/20/2023,
47,2,53,2/28/2023,
48,4,26,6/3/2023,
49,1,68,2/2/2023,
50,3,41,11/12/2023,
51,3,84,2/7/2024,
52,2,27,5/14/2024,
53,7,13,4/9/2024,
54,4,12,10/18/2023,
55,5,56,4/14/2024,
56,8,38,6/7/2023,
57,4,98,9/9/2023,
58,5,98,12/15/2023,
59,4,38,9/27/2023,
60,8,70,11/21/2023,
61,5,40,8/31/2024,
62,4,48,5/23/2024,
63,5,80,6/15/2024,
64,5,66,11/6/2023,
65,7,62,8/15/2023,
66,7,50,11/9/2024,
67,3,93,8/1/2023,
68,6,41,8/31/2023,
69,7,81,5/28/2023,
70,7,37,5/27/2023,
71,2,31,3/17/2024,
72,6,5,5/25/2024,
73,1,51,5/15/2024,
74,7,19,11/3/2023,
